Year,Zone,Area km2,MeanTotalHarvest,MeanSAK_Den,MeanBuckHar,MeanTotal Does,SDTotalHarvest,SDSAK_Den,SDBuckHar,SDTotal Does
1980,1,15726,775.8,NA,412.5333333,301.9333333,560.946367,NA,294.5952855,214.8467568
1981,1,15726,934.5,15.71428571,544.0714286,388.0714286,630.0013322,8.737673533,317.3842791,315.3629347
1982,1,15726,949.3571429,14.63636364,522.6363636,375.9090909,693.1927795,5.826137447,321.9032368,379.2549423
1983,1,15726,749.9285714,8.714285714,392.8571429,355.2142857,458.7967904,3.347249861,192.8136988,273.4376864
1984,1,15726,568.2142857,9.214285714,424.1428571,141.6428571,291.2427016,3.725943244,225.3840713,91.44210279
1985,1,15726,762.5714286,12,457.4285714,303.7142857,419.9661065,3.982102819,237.8023532,190.4061181
1986,1,15726,909,13.14285714,566.6428571,342.2857143,549.8528375,4.517539515,340.5702376,213.0474221
1987,1,15726,1255.142857,17,753.2857143,501.3571429,718.4180893,5.916079783,408.3577613,320.8191763
1988,1,15726,1612.285714,22.71428571,881,730.9285714,884.4170339,6.249897958,443.5841038,449.4468766
1989,1,15726,2015.928571,22.5,1051.142857,962.5714286,1002.344713,5.985100548,481.6192713,534.7227204
1990,1,15726,2506.5,25.78571429,1105.285714,1396.857143,1363.256487,7.042509409,535.602255,855.4364681
1991,1,15726,3478.357143,22.42857143,1160.071429,2310.571429,2197.414539,4.894811914,619.9382993,1591.10872
1992,1,15726,1877,15.42857143,756.3571429,1119.928571,900.9667823,2.411706145,326.9660548,612.5723822
1993,1,15726,725.5,15.78571429,567.2857143,157.7857143,247.6266631,2.365785023,200.949684,63.45659773
1994,1,15726,1263.142857,22.57142857,925.2857143,335.4285714,445.9419977,4.578120103,376.4344808,121.4076453
1995,1,15726,2679.285714,30.14285714,1424.785714,1253.071429,1213.833445,3.814579978,609.3595207,626.0301755
1996,1,15726,1798.642857,23.42857143,1007.785714,790.3571429,717.8598756,3.478798761,395.3689378,339.4418964
1997,1,15726,1530.642857,20.5,902.0714286,627.0714286,567.1211268,5.900968444,336.5918394,288.7382562
1998,1,15726,2561.714286,24.71428571,1290.428571,1270.642857,1167.2198,6.67006716,554.6700067,652.3630242
1999,1,15726,3131.142857,26.78571429,1473.714286,1656.142857,1337.812439,5.184848413,576.5139607,785.8889286
2000,1,15726,4573.214286,29.07142857,1598.785714,3037.785714,1963.900862,6.374774906,614.9129066,1282.787822
2001,1,15726,3117.533333,25.06666667,1395.733333,1722,1570.345052,8.053708601,667.3966803,983.7028684
2002,1,15726,2273.533333,19.53333333,922.8666667,1351.2,1205.239941,5.213657279,444.5961263,775.1940144
2003,1,15726,3109,26.53333333,1370.333333,1738.666667,1465.94843,5.264556539,636.9856792,925.2895523
2004,1,15726,3085.133333,21.33333333,949.3333333,2135.8,1509.999111,4.784233365,512.144077,1164.758871
2005,1,15726,2569.466667,24.06666667,1152.133333,1417.333333,1671.559865,4.611097724,591.9874849,1111.687526
2006,1,15726,2813.2,26.46666667,1142.4,1664.133333,1532.417358,6.141299175,611.6260077,922.265751
2007,1,15726,2972.866667,26.33333333,1213.666667,1759.2,1591.723589,6.139127698,611.1472999,997.1698752
2008,1,15726,2346.8,19.2,844.5333333,1502.266667,1349.600642,4.460194316,434.3720167,933.5950919
2009,1,15726,1615.066667,17.86666667,777.8666667,837.2,943.7972569,5.123366948,425.2710299,533.822842
2010,1,15726,1526.533333,22.8,843.0666667,683.4666667,1172.36046,6.090429651,421.9485698,841.8685461
2011,1,15726,1652.6,20.4,758.5333333,894.0666667,836.763272,5.413563214,371.6542958,509.7741286
2012,1,15726,1664.133333,22.26666667,803.2666667,860.8666667,846.7090698,7.028197177,402.9591322,450.7398165
2013,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2019,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,15726,NA,NA,NA,NA,NA,NA,NA,NA
1980,2,14776,693.3571429,NA,433,171.7857143,357.2323388,NA,213.3622004,168.5294288
1981,2,14776,1018.428571,20.57142857,680.7857143,335.0714286,514.6172939,8.217701153,334.5393803,220.0296942
1982,2,14776,898.0714286,16,589.7857143,302.5714286,473.6483723,6.152815848,259.1624363,222.1086331
1983,2,14776,935.4285714,15.64285714,591.9285714,342.0714286,456.4560242,5.838384596,270.792874,203.6434083
1984,2,14776,1336.642857,21.78571429,857,475.2857143,722.1255933,9.366952328,428.1274844,301.4191265
1985,2,14776,1995.142857,21.85714286,924.4285714,1069.214286,1124.924496,6.80186049,443.5752013,693.4505007
1986,2,14776,1295.357143,17.5,782.7857143,512.2857143,505.3737806,5.261042808,306.90603,228.2437383
1987,2,14776,1762.428571,24.21428571,1010.785714,751.4285714,696.8107669,8.60380789,416.2087695,308.4126907
1988,2,14776,2425.142857,28.28571429,1163.714286,1260.428571,1001.230376,8.630747124,486.520801,530.0471292
1989,2,14776,3037.285714,29.78571429,1364.071429,1671.857143,1318.689037,9.009348886,569.1818018,785.6288525
1990,2,14776,3217.066667,30,1356.733333,1859.2,1505.934371,7.375635566,618.2197524,919.780568
1991,2,14776,3555,24.06666667,1090.4,2462.8,1538.91256,5.507167047,438.7437825,1106.870495
1992,2,14776,2841.933333,16.73333333,945.1333333,1895.2,1331.903073,4.725345372,416.3197276,928.168749
1993,2,14776,1145.2,23.06666667,875.4666667,269.7333333,445.0272201,6.433937795,352.839315,128.0434648
1994,2,14776,2096.733333,30.6,1232.466667,863.5333333,931.2608275,7.829857385,470.2953493,473.08757
1995,2,14776,3595.133333,36.26666667,1740.333333,1851.466667,1512.113658,9.175813618,642.3052926,916.6312866
1996,2,14776,2491.133333,23.73333333,1100.8,1385.466667,1056.977317,8.168775238,355.2501841,773.1626708
1997,2,14776,1605.266667,22.13333333,947.9333333,656.3333333,607.4841525,9.301373853,339.6037822,310.7390474
1998,2,14776,2716.2,32.26666667,1428,1287.4,1359.515021,13.08162409,484.9580051,942.6594861
1999,2,14776,3507,31.73333333,1542.066667,1964.266667,1124.169442,11.11435508,513.0383308,662.3836216
2000,2,14776,4436.133333,30.86666667,1531.733333,2900,1748.002245,11.96030472,499.9985956,1416.933214
2001,2,14776,3106.2,25.26666667,1338.466667,1806.8,1362.190892,7.715496672,412.1001281,1044.827526
2002,2,14776,2198.6,21.53333333,998,1199.933333,984.900929,6.25957045,332.0650539,725.8637583
2003,2,14776,2579.533333,20.8,1125.666667,1453.866667,1202.784096,3.506185011,358.7366103,979.1168719
2004,2,14776,1985.666667,19.73333333,947,1038.666667,785.7172237,6.423567718,313.4117632,549.1974346
2005,2,14776,1867.866667,38.2,919.6,948.2666667,781.2308124,67.0484402,311.1708641,573.4471747
2006,2,14776,2243.733333,23.93333333,954.0666667,1290.666667,920.0695239,7.715496672,328.3281827,640.7311102
2007,2,14776,2366.6,22.53333333,994.7333333,1371.866667,989.4751336,7.38346501,347.2394883,707.0205906
2008,2,14776,1599.333333,14.73333333,693.8666667,905.4666667,799.5496788,4.552898954,232.977214,625.5610673
2009,2,14776,903.8666667,13.53333333,591.4,312.4666667,352.7514454,4.455209186,248.1528561,159.5300877
2010,2,14776,973,19.53333333,748.8666667,224.1333333,537.2151648,6.130434097,307.3056821,298.3782536
2011,2,14776,1709.066667,19.2,851.4666667,857.6,838.017698,4.846992194,328.3160808,643.8079217
2012,2,14776,1512.266667,19,785.6666667,726.6,765.0370332,5.955389716,288.8793674,517.1225258
2013,2,14776,NA,NA,NA,NA,NA,NA,NA,NA
2014,2,14776,NA,NA,NA,NA,NA,NA,NA,NA
2015,2,14776,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,14776,NA,NA,NA,NA,NA,NA,NA,NA
2017,2,14776,NA,NA,NA,NA,NA,NA,NA,NA
2018,2,14776,NA,NA,NA,NA,NA,NA,NA,NA
2019,2,14776,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,14776,NA,NA,NA,NA,NA,NA,NA,NA
1980,3,10090,1193.916667,NA,618.5833333,479.5833333,434.2699733,NA,212.8671175,151.6506173
1981,3,10090,1347.083333,23,784.3333333,559.25,529.2704819,6.745368782,270.669335,267.532903
1982,3,10090,1318.25,16.75,675.5,630.9166667,597.2967053,4.023369235,246.6081575,356.5289746
1983,3,10090,1057.166667,13.91666667,542.75,511.3333333,396.4838865,3.01270458,180.9171657,232.872044
1984,3,10090,1079,15.25,711.5,364.1666667,415.5728977,4.105382646,251.9832997,174.0803614
1985,3,10090,1490.75,17.91666667,763.3333333,725.5833333,649.4041019,4.480668353,285.5498594,380.2625098
1986,3,10090,1363.333333,18.33333333,824.8333333,538.4166667,588.709653,3.590109871,343.4656299,251.4883888
1987,3,10090,1676.416667,21.66666667,934.9166667,741,632.3902353,4.60675832,304.906395,339.0727552
1988,3,10090,1941.166667,25.25,1015.75,925,683.7043505,3.85411036,328.9516492,364.0045787
1989,3,10090,2478.416667,26,1222.583333,1254.75,791.7917927,3.894440482,368.9820362,441.7963567
1990,3,10090,3030.583333,28.33333333,1305.166667,1720.75,1105.887386,4.624812309,405.9422852,738.3539265
1991,3,10090,3853.166667,24.41666667,1244.916667,3830.666667,1624.535412,3.773997291,508.5845486,3935.187021
1992,3,10090,2501.5,17.08333333,880.9166667,1619.583333,831.7413961,3.729574,323.2665202,554.0791848
1993,3,10090,1083.5,19.41666667,765.1666667,317.8333333,632.5749626,4.212250652,323.1273829,335.2277418
1994,3,10090,1813.083333,26.75,1124.916667,687.6666667,874.0797502,4.745612008,406.9069219,494.0827079
1995,3,10090,3273.833333,30.91666667,1490.75,1782.416667,1073.460202,3.946693412,412.7596405,679.0012835
1996,3,10090,2361.333333,27,1199.583333,1160.666667,995.3148022,3.719318934,409.4084062,631.6907647
1997,3,10090,2344.833333,24.33333333,1163.5,1180.083333,1242.517997,5.89255651,406.0904045,914.724226
1998,3,10090,2961.923077,28,1388.384615,1650.076923,1608.376126,5.354126135,586.0028273,1063.925783
1999,3,10090,3659.076923,29.83333333,1511.384615,2144.461538,1508.105458,5.842849381,584.3376972,937.0180702
2000,3,10090,4946.692308,29.16666667,1591.153846,3354.846154,2095.404767,6.348665652,618.525896,1594.279526
2001,3,10090,3110.307692,23.66666667,1308.923077,1801.230769,1398.060931,4.552166761,458.3538206,1041.444127
2002,3,10090,2413.153846,22.16666667,1101.153846,1313.923077,1085.053692,4.219662967,413.8999965,792.3649569
2003,3,10090,3237.769231,27.08333333,1381.153846,1856.615385,1454.744606,4.480668353,506.8146143,1044.635714
2004,3,10090,3304.769231,24.25,1198.461538,2106.307692,1254.871685,4.815340071,499.6236453,860.4036964
2005,3,10090,3049.769231,28.25,1238.384615,1811.384615,1482.748288,5.309190145,474.6063208,1100.277905
2006,3,10090,3405,32,1270.923077,2134.076923,1419.318363,6.027713773,521.7288511,916.8103119
2007,3,10090,3650.538462,29.5,1240.230769,2410.307692,1552.930709,6.370504951,494.2487934,1125.428628
2008,3,10090,2853.384615,22.66666667,969.1538462,1884.230769,1315.383041,4.006938427,411.7739944,930.7542148
2009,3,10090,2332.153846,22.33333333,950.3846154,1381.769231,1189.11731,4.60675832,399.8793161,813.5244456
2010,3,10090,2450.923077,29.66666667,1095.923077,1355,1231.848109,5.849976258,443.4689238,877.8343106
2011,3,10090,2208.307692,23.08333333,879.5384615,1290.307692,965.2716146,3.45104654,361.1144322,603.4988222
2012,3,10090,1977.769231,27.5,932.3076923,1045.461538,823.6835794,6.861729617,378.0830972,457.0855189
2013,3,10090,NA,NA,NA,NA,NA,NA,NA,NA
2014,3,10090,NA,NA,NA,NA,NA,NA,NA,NA
2015,3,10090,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,10090,NA,NA,NA,NA,NA,NA,NA,NA
2017,3,10090,NA,NA,NA,NA,NA,NA,NA,NA
2018,3,10090,NA,NA,NA,NA,NA,NA,NA,NA
2019,3,10090,NA,NA,NA,NA,NA,NA,NA,NA
2020,3,10090,NA,NA,NA,NA,NA,NA,NA,NA
1980,4,5942,1463.5,NA,813.5,501.5,858.5247521,NA,493.3986725,253.982775
1981,4,5942,2063,26.5,1200.25,857.75,1218.663612,3.840572874,822.1840959,402.1239703
1982,4,5942,1939.5,20,1102.5,814.75,1548.104082,4.74341649,899.7239855,612.0655092
1983,4,5942,1989.25,20.75,1037,945.25,1645.938999,3.031088913,869.6528043,769.3433483
1984,4,5942,2721.75,24,1486.5,1193,2428.984806,7.03562364,1198.87124,1223.07093
1985,4,5942,3878.25,22,1567.5,2306.25,3556.353847,7.176350047,1349.354383,2200.858511
1986,4,5942,3566.25,17,1598.25,1963,4161.460403,5.385164807,1371.960891,2780.870098
1987,4,5942,3407.5,23.5,1728.25,1678.75,3291.113603,6.726812024,1359.116142,1931.422193
1988,4,5942,4109,24,1744.5,2362.75,3567.711451,5.700877125,1245.107726,2320.884247
1989,4,5942,5001,26.25,2125,2871.25,4221.586669,6.098155459,1435.164799,2778.301943
1990,4,5942,4008.666667,25.5,1443.333333,2567.666667,1361.869385,6.776183783,493.5219234,917.7384643
1991,4,5942,3330,22.33333333,1158.333333,2169.333333,1477.699902,4.18993503,472.0800309,1058.32126
1992,4,5942,2666,20.33333333,1122,1543.666667,1219.373883,6.073622386,469.0142144,758.4140616
1993,4,5942,1762.5,25.5,1117.333333,649.6666667,1177.357033,8.241156877,521.9050574,655.6809861
1994,4,5942,2972.333333,30.5,1469.666667,1507.5,1574.579697,8.015609771,635.742523,959.8179949
1995,4,5942,4089.833333,37.33333333,1917.833333,2164.166667,1726.844175,9.339283817,684.4577943,1052.254313
1996,4,5942,4592.166667,27.66666667,1325.833333,3265.333333,2363.074087,5.906681716,309.767341,2156.923091
1997,4,5942,3667.666667,23.16666667,1391,1511.833333,2219.085823,5.304610154,581.0857653,1201.91478
1998,4,5942,4009,30,1762.833333,1681.5,1426.764054,5.099019514,557.5779218,722.7846037
1999,4,5942,4779.833333,31.33333333,1874,2503.833333,1346.073477,5.343739847,651.2116911,561.4518135
2000,4,5942,5033,34.33333333,1653.857143,2923.571429,3032.238918,9.603240194,960.7299946,1714.927808
2001,4,5942,4177.714286,33,1430.285714,2165,2491.877188,8.888194417,834.4273852,1292.608437
2002,4,5942,3395.857143,29,1177.285714,1626.714286,2079.137144,6.110100927,655.2043769,1102.533539
2003,4,5942,3602.857143,28.16666667,1319.428571,2283.428571,2000.086172,9.956851354,781.106515,1273.649745
2004,4,5942,3476.714286,29.66666667,1035,2441.714286,2547.0257,11.05541597,537.8709351,2084.93273
2005,4,5942,2769.571429,25.66666667,1080.428571,1689.142857,1825.222402,7.930251502,676.9863593,1151.075203
2006,4,5942,2947.285714,28.5,992.2857143,1955,2049.555751,5.09084145,528.3966893,1576.557824
2007,4,5942,2794.714286,27.33333333,1176,1618.714286,1724.177461,5.120763832,784.1816481,945.5989356
2008,4,5942,2166.714286,23.5,844.8571429,1321.857143,1531.452319,8.655441448,558.0763974,984.9129662
2009,4,5942,1653.142857,23.33333333,812.1428571,841,1451.841927,10.84230398,620.8347902,847.4160725
2010,4,5942,1612.857143,29.66666667,936.4285714,676.4285714,1574.736479,11.96754871,675.2654202,937.937381
2011,4,5942,2279,32.16666667,1091.142857,1187.857143,1567.690294,15.00462892,770.49213,800.8526579
2012,4,5942,2205.857143,32.16666667,1040.714286,1165.142857,1742.644003,17.92034846,824.3906346,918.3996062
2013,4,5942,NA,NA,NA,NA,NA,NA,NA,NA
2014,4,5942,NA,NA,NA,NA,NA,NA,NA,NA
2015,4,5942,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,5942,NA,NA,NA,NA,NA,NA,NA,NA
2017,4,5942,NA,NA,NA,NA,NA,NA,NA,NA
2018,4,5942,NA,NA,NA,NA,NA,NA,NA,NA
2019,4,5942,NA,NA,NA,NA,NA,NA,NA,NA
2020,4,5942,NA,NA,NA,NA,NA,NA,NA,NA
1980,5,7995,4137.4,NA,2184.4,1263.6,2045.253588,NA,853.9659478,899.0560828
1981,5,7995,5399.2,28.2,2941.4,2435.2,1881.190091,1.326649916,963.375856,932.7973842
1982,5,7995,5052.4,25.2,2549.6,2445.6,1565.803768,4.06939799,759.7340587,790.0649594
1983,5,7995,5173.4,26.6,2512,2635,1866.700254,3.826225294,883.8603962,986.4552701
1984,5,7995,6594.4,32,3192,3378.4,2270.46952,5.727128425,1154.774437,1147.691701
1985,5,7995,7575.8,27,2959.6,4589.6,2826.849794,1.897366596,925.1035834,1962.251625
1986,5,7995,5709.4,34.2,3012.6,2671.2,1408.273354,3.655133376,642.1982871,764.9032357
1987,5,7995,6603,32.6,2802,3784.6,1454.566465,3.440930107,545.058162,930.8489888
1988,5,7995,5935.8,30,2610.4,3316.4,1279.381319,3.577708764,550.4407688,742.0661965
1989,5,7995,6201,29.8,2869.8,3327,1515.208369,2.785677655,670.6896152,872.7510527
1990,5,7995,7064.8,30.8,2911.8,4149.8,2073.51136,3.867815921,621.0849861,1476.767334
1991,5,7995,6416.4,29.4,2427.2,3980.2,1743.134717,4.079215611,648.5699345,1161.256802
1992,5,7995,6010,22.8,2328.4,3672.2,1216.711469,4.445222154,528.2354021,704.9823828
1993,5,7995,4352.6,30.6,2374,1974.4,1391.729945,4.630334761,547.5180362,860.750045
1994,5,7995,6294.2,34.4,2899,3393,1683.890662,3.440930107,598.5759768,1096.359795
1995,5,7995,7241,33.2,3182.4,4053.6,1404.814151,4.578209257,574.9572506,841.3452561
1996,5,7995,6542.6,27,2852.8,3489.4,1064.985559,2,519.5695911,943.4029044
1997,5,7995,4787.8,26.6,2531.8,2255,1380.877315,1.624807681,609.7292514,783.1932073
1998,5,7995,5584.2,39.2,3155.2,2428.4,1312.823278,2.785677655,700.989415,670.202835
1999,5,7995,8519.8,39.2,3365,5154.8,1915.118941,5.979966555,735.5773243,1307.16738
2000,5,7995,11021,35.6,3294.4,7726.6,2771.011296,6.118823416,818.9751156,2753.152564
2001,5,7995,7803.2,26.8,2797.8,5005.4,3575.043463,5.268775949,783.819469,2922.324253
2002,5,7995,4968.2,30.8,2445.4,2522.8,1126.422194,4.166533331,521.2970746,837.7057717
2003,5,7995,6906.8,32,2928,3978.8,2165.935308,2.449489743,764.1698764,1483.88172
2004,5,7995,7857,27.6,2887.8,4962,2386.833467,2.244994432,725.288191,1757.076094
2005,5,7995,6932.4,34.2,2908.6,4023.8,2163.955878,1.166190379,798.9642295,1470.992237
2006,5,7995,7956.6,48,2655.8,5300.8,2892.884,7.238784428,778.8233176,2142.599207
2007,5,7995,7097,39.8,2513.4,4583.6,2131.506603,5.418486874,708.4446626,1443.968227
2008,5,7995,6233.8,33,2195.8,4038,2071.721448,5.215361924,717.4266234,1370.2988
2009,5,7995,4681.6,24.6,1643.2,3038.4,2229.000458,3.773592453,609.4792531,1646.979611
2010,5,7995,3577.4,29.4,1703.4,1874,1659.856813,5.462600113,600.592241,1068.910286
2011,5,7995,3638.6,26.8,1640,1998.6,1831.103886,4.578209257,578.3227473,1273.873243
2012,5,7995,4197.4,31,1903.2,2294.2,1565.11068,3.633180425,559.7993926,1009.892351
2013,5,7995,NA,NA,NA,NA,NA,NA,NA,NA
2014,5,7995,NA,NA,NA,NA,NA,NA,NA,NA
2015,5,7995,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,7995,NA,NA,NA,NA,NA,NA,NA,NA
2017,5,7995,NA,NA,NA,NA,NA,NA,NA,NA
2018,5,7995,NA,NA,NA,NA,NA,NA,NA,NA
2019,5,7995,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,7995,NA,NA,NA,NA,NA,NA,NA,NA
1980,6,87789,2061.702128,NA,979.7021277,784.2553191,2015.384245,NA,875.8821429,932.1689525
1981,6,87789,2482.217391,22.09756098,1375.217391,1082.652174,2209.067695,9.943265592,1147.004282,1065.51323
1982,6,87789,2819.918367,21.55555556,1417.183673,1349.857143,2450.90179,8.893332223,1184.416892,1272.660591
1983,6,87789,3291.571429,24.95555556,1512.918367,1749.204082,2820.601615,10.51761603,1150.027432,1657.606462
1984,6,87789,4256.530612,22.51111111,1718.081633,2478.040816,3445.502061,7.107499083,1136.272492,2341.073101
1985,6,87789,3793.339623,24.77777778,1510.90566,2203.490566,2939.863377,8.87164995,1069.010939,1801.741837
1986,6,87789,3377.836066,22.32075472,1387.803279,1940.278689,2847.398929,9.753129319,1026.254639,1786.309173
1987,6,87789,2977.803279,23.07692308,1305.311475,1634.57377,2329.257159,9.941842721,951.4244979,1334.235195
1988,6,87789,2926.442623,24.18867925,1335.868852,1569.016393,2232.826354,9.300145269,949.2844842,1273.831338
1989,6,87789,3262.095238,26.31481481,1481.31746,1775.936508,2573.763014,8.556617699,1074.25268,1524.707288
1990,6,87789,3628.68254,25.94827586,1510.984127,2111.619048,2760.330155,9.699666567,1059.01292,1707.523431
1991,6,87789,3675.333333,24.07272727,1367.492063,2303.793651,2802.640682,6.575034173,962.0761425,1885.115972
1992,6,87789,2981.9,22.25714286,1268.771429,1710.928571,2671.422393,9.969504522,1052.978879,1645.334281
1993,6,87789,2854.342857,28.02857143,1415.2,1437.342857,2394.311741,11.49903279,1072.095166,1356.338737
1994,6,87789,3784.867647,23.78873239,1556.264706,2133.464789,2995.185465,12.95704223,1094.78504,1935.312246
1995,6,87789,4034.257143,32.98529412,1744.5,2223.972222,2939.503256,13.22819254,1211.94435,1797.146233
1996,6,87789,4434.943662,24.5890411,1504.422535,2809.581081,3337.069419,11.97924646,1131.854376,2387.48325
1997,6,87789,3512.056338,25.58730159,1381.957746,2042.054054,2858.449791,6.918195289,983.0812503,1952.693413
1998,6,87789,3243.285714,31.49206349,1459.935065,1782.571429,2817.888022,8.542838857,1142.487174,1739.048355
1999,6,87789,3706.230769,33.53125,1492.346154,2212.794872,3039.573308,9.082897304,1190.204742,1869.642598
2000,6,87789,4394.653846,35.046875,1546.397436,2840.230769,3691.205764,13.39476307,1228.531418,2517.015713
2001,6,87789,3355.586667,30.17460317,1375.56,1924.922078,2610.165507,9.741972165,1055.056892,1600.046247
2002,6,87789,2965.848101,29.08823529,1204.582278,1706.487805,2378.712662,10.60484808,988.7285866,1502.826932
2003,6,87789,3775.15,37.24242424,1455.7,2320.7,3253.615708,11.84503554,1214.305876,2096.288687
2004,6,87789,4375.74359,37.53030303,1326.24359,2936.567901,3720.863814,12.10461932,1052.052709,2790.171024
2005,6,87789,4058.12987,37.9375,1529.844156,2405.012346,3361.848426,11.3755151,1257.392809,2157.929846
2006,6,87789,4242.759494,42.67692308,1424.037975,2715.597561,3854.441171,16.30960802,1130.557043,2809.047855
2007,6,87789,4369.075949,45.4,1323.924051,2898.39759,3663.931294,18.65459317,1098.267286,2626.38967
2008,6,87789,3907.345679,39.12121212,1090.962963,2715.833333,3423.299993,16.74181406,927.2827614,2535.623169
2009,6,87789,2854.518519,39.31818182,1106.506173,1768.916667,2476.553704,14.11656999,978.5474764,1747.501422
2010,6,87789,3023.790123,42.60606061,1209.938272,1749.345238,2551.322483,13.5734576,1078.278147,1562.706729
2011,6,87789,2962.37037,43.89393939,1254,1667.204819,2523.112356,15.00215014,1053.485549,1489.003676
2012,6,87789,3243.195122,49.01492537,1415.97561,1783.678571,2837.134596,16.77372905,1206.978327,1650.06171
2013,6,87789,NA,NA,NA,NA,NA,NA,NA,NA
2014,6,87789,NA,NA,NA,NA,NA,NA,NA,NA
2015,6,87789,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,87789,NA,NA,NA,NA,NA,NA,NA,NA
2017,6,87789,NA,NA,NA,NA,NA,NA,NA,NA
2018,6,87789,NA,NA,NA,NA,NA,NA,NA,NA
2019,6,87789,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,87789,NA,NA,NA,NA,NA,NA,NA,NA
